S.NO,Degree,Domain,Skill1,Skill2,Skill3,Certification,JobRole,Experience,Age,Location,Education_Level,University_Tier
1163,B.Sc,Biotech,Lab Techniques,PCR,Python,,Biotech Researcher,0,21,Australia,Bachelor,Tier 2
1165,MCA,Data Science,Pandas,Python,Data Analysis,AWS,Data Scientist,15,35,Remote,Diploma,Tier 1
1166,B.Tech,Civil,Construction,Design,Data Analysis,,Civil Engineer,4,28,Germany,Master,Tier 2
1167,B.Com,Data Science,SQL,Data Analysis,Project Management,,Data Analyst,10,33,Remote,Master,Tier 3
1168,M.Tech,Data Science,Statistics,Machine Learning,Excel,,Data Scientist,1,25,UK,Bachelor,Tier 2
1169,B.Tech,Chemical,Excel,Process Design,Research,,Chemical Engineer,0,22,Canada,Master,Tier 3
1173,B.Tech,Civil,Excel,Construction,Leadership,,Civil Engineer,9,30,Australia,Diploma,Tier 2
1176,MBA,Design,Figma,UI/UX,Leadership,,UI/UX Designer,6,25,Germany,Bachelor,Tier 3
1177,B.Tech,Security,Python,Incident Response,SQL,,Security Analyst,4,24,UK,PhD,Tier 3
1178,BBA,Business,Excel,Negotiation,SQL,,Business Development Manager,9,30,USA,Master,Tier 1
1179,M.Tech,Civil,Design,AutoCAD,SQL,,Civil Engineer,4,24,Australia,Diploma,Tier 2
1180,MBA,Management,Excel,Project Management,Python,Scrum,Project Manager,3,22,UK,PhD,Tier 2
1181,MBA,Business,UML,SQL,HTML/CSS,,Business Analyst,2,24,Germany,Master,Tier 1
1183,B.Tech,Mechanical,Project Mgmt,Design,Data Analysis,,Mechanical Engineer,6,29,USA,Bachelor,Tier 2
1185,B.Tech,Data Science,Excel,PowerBI,Data Analysis,AWS,Data Analyst,8,26,India,PhD,Tier 2
1188,MBA,Data Science,SQL,Data Analysis,Research,AWS,Data Analyst,2,24,Canada,Master,Tier 2
1190,M.Tech,Civil,Construction,Surveying,Python,,Civil Engineer,3,25,India,Diploma,Tier 2
1197,MCA,Data Science,SQL,Hadoop,Project Management,Google Cloud,Data Engineer,3,24,Germany,Bachelor,Tier 1
1198,MCA,Data Science,Pandas,Python,Communication,,Data Scientist,11,35,Canada,Bachelor,Tier 1
1203,M.Tech,Data Science,Python,Airflow,SQL,AWS,Data Engineer,7,26,Australia,Master,Tier 3
1207,B.Tech,Civil,AutoCAD,Design,SQL,,Civil Engineer,12,32,Germany,Master,Tier 1
1208,B.Com,Business,Communication,UML,SQL,,Business Analyst,6,26,Canada,PhD,Tier 2
1210,MCA,Computer Science,Cloud,Docker,Python,Azure,Cloud Engineer,12,36,Canada,Bachelor,Tier 2
1211,M.Tech,Electrical,MATLAB,Circuits,Python,,Electrical Engineer,10,30,Canada,Master,Tier 2
1215,B.Com,Data Science,Tableau,Excel,Python,AWS,Data Analyst,3,28,UK,Master,Tier 2
1216,M.Tech,Data Science,Python,Machine Learning,Communication,,Machine Learning Engineer,12,37,UK,Master,Tier 2
1218,M.Tech,Electrical,Design,Proteus,SQL,,Electrical Engineer,6,30,Remote,PhD,Tier 3
1220,B.Com,Marketing,Excel,Analytics,Data Analysis,Google Cloud,Marketing Specialist,2,27,India,Bachelor,Tier 3
1222,Ph.D,Biotech,Biology,Research,Communication,,Biotech Researcher,14,39,Canada,PhD,Tier 2
1227,B.Tech,Chemical,MATLAB,Chemistry,Leadership,,Chemical Engineer,3,26,Germany,PhD,Tier 1
1228,B.Tech,Operations,ERP,Excel,Project Management,,Operations Manager,8,32,Canada,Diploma,Tier 3
1230,B.Com,Marketing,Excel,SEO,SQL,Google Cloud,Marketing Specialist,2,27,Australia,Bachelor,Tier 2
1232,MBA,Operations,Supply Chain,Leadership,HTML/CSS,,Operations Manager,15,37,Australia,Bachelor,Tier 2
1234,Ph.D,Data Science,Data Analysis,Pandas,Project Management,Google Cloud,Data Scientist,9,34,UK,Diploma,Tier 2
1242,B.Com,Data Science,Excel,SQL,Leadership,,Data Analyst,15,40,Germany,Master,Tier 2
1243,MBA,Business,Negotiation,Excel,Project Management,,Business Development Manager,14,39,Australia,Bachelor,Tier 2
1245,MBA,Operations,Analytics,ERP,HTML/CSS,,Operations Manager,1,22,Germany,Bachelor,Tier 2
1246,MBA,Business,Communication,SQL,Project Management,,Business Analyst,7,30,Australia,Master,Tier 2
1249,B.Tech,Mechanical,CAD,Design,Project Management,,Mechanical Engineer,1,21,Canada,Master,Tier 3
1250,MCA,Data Science,Statistics,SQL,Leadership,AWS,Data Scientist,13,36,Australia,Master,Tier 2
1255,M.Tech,Mechanical,Design,Thermodynamics,Communication,,Mechanical Engineer,14,33,USA,Master,Tier 2
1257,MBA,Sales,CRM,Excel,Project Management,,Sales Manager,6,25,Australia,PhD,Tier 1
1260,B.Tech,Security,Security,Linux,Research,,Security Analyst,2,27,Germany,PhD,Tier 2
1261,B.Tech,Electrical,Switches,Networking,Communication,CCNA,Network Engineer,13,38,Australia,Master,Tier 2
1262,M.Sc,Data Science,Data Analysis,SQL,Communication,,Data Scientist,5,24,UK,Master,Tier 2
1267,MCA,Data Science,SQL,Machine Learning,Research,,Data Scientist,8,26,India,Diploma,Tier 2
1269,B.Tech,Chemical,Process Design,Chemistry,Communication,,Chemical Engineer,0,21,Australia,Bachelor,Tier 1
1270,B.Tech,Chemical,Safety,Chemistry,Research,,Chemical Engineer,10,32,Canada,Diploma,Tier 3
1275,M.Tech,Mechanical,MATLAB,CAD,Leadership,,Mechanical Engineer,2,24,Canada,Master,Tier 2
1281,M.Tech,Data Science,SQL,Machine Learning,Research,Google Cloud,Data Scientist,9,32,Canada,PhD,Tier 3
1283,MBA,Sales,Excel,Communication,Research,,Sales Manager,1,24,India,Bachelor,Tier 2
1285,MBA,Marketing,Excel,Communication,Research,,Marketing Specialist,7,25,India,Master,Tier 2
1286,B.Tech,Data Science,Python,Data Analysis,Excel,Google Cloud,Data Analyst,0,24,Canada,Diploma,Tier 3
1287,M.Tech,Data Science,Python,ETL,Project Management,AWS,Data Engineer,4,23,USA,Master,Tier 3
1289,M.Tech,Data Science,TensorFlow,Machine Learning,Excel,Google Cloud,Machine Learning Engineer,3,22,Germany,Bachelor,Tier 2
1290,B.Tech,Electrical,Networking,Switches,Communication,CCNA,Network Engineer,2,23,Germany,Bachelor,Tier 3
1291,B.Tech,Data Science,Tableau,PowerBI,Leadership,AWS,Data Analyst,12,32,India,PhD,Tier 2
1292,M.Tech,Mechanical,Design,Thermodynamics,Python,,Mechanical Engineer,4,25,Remote,PhD,Tier 2
1293,MBA,Management,Risk Mgmt,Project Management,HTML/CSS,PMP,Project Manager,1,25,USA,Bachelor,Tier 1
1294,Ph.D,Data Science,Data Analysis,SQL,Excel,,Data Scientist,4,29,Germany,Bachelor,Tier 2
1298,B.Tech,Operations,Leadership,Excel,Data Analysis,,Operations Manager,2,27,Australia,Bachelor,Tier 2
1300,B.Tech,Operations,Supply Chain,Analytics,SQL,,Supply Chain Manager,14,34,USA,PhD,Tier 2
1307,MBA,Business,Communication,Excel,Leadership,PMP,Business Analyst,15,35,USA,Bachelor,Tier 3
1310,B.Com,Business,Excel,Stakeholder Mgmt,Communication,PMP,Business Analyst,3,27,India,PhD,Tier 1
1311,Ph.D,Data Science,TensorFlow,Machine Learning,Communication,,Machine Learning Engineer,0,24,Canada,Bachelor,Tier 3
1312,BBA,HR,Labor Laws,Leadership,Python,,HR Manager,14,37,Canada,Bachelor,Tier 1
1314,MBA,Data Science,Tableau,Python,Data Analysis,AWS,Data Analyst,7,30,Remote,Bachelor,Tier 3
1315,MCA,Data Science,Pandas,Data Analysis,Leadership,Google Cloud,Data Scientist,2,25,Canada,Bachelor,Tier 3
1316,BBA,Marketing,SEO,Analytics,Communication,Google Cloud,Marketing Specialist,4,24,Canada,Bachelor,Tier 2
1318,B.Tech,Business,Data Analysis,Excel,Research,,Business Analyst,8,28,UK,Bachelor,Tier 2
1321,B.Com,Business,UML,Excel,SQL,PMP,Business Analyst,5,25,Canada,PhD,Tier 3
1322,BBA,Marketing,Analytics,Social Media,Leadership,Google Cloud,Marketing Specialist,2,25,Remote,Bachelor,Tier 3
1325,MCA,Data Science,Python,Pandas,Data Analysis,Google Cloud,Data Scientist,7,26,Canada,Master,Tier 2
1326,MCA,Computer Science,Python,Cloud,HTML/CSS,Azure,Cloud Engineer,1,21,Germany,Master,Tier 2
1327,B.Tech,Electrical,Design,Power Systems,Communication,,Electrical Engineer,13,35,Germany,Bachelor,Tier 3
1329,M.Tech,Data Science,Python,Statistics,SQL,AWS,Data Scientist,0,24,USA,Bachelor,Tier 2
1330,B.Tech,Chemical,Chemistry,Safety,Python,,Chemical Engineer,2,22,Germany,Master,Tier 1
1331,B.Com,Finance,Accounting,Financial Modeling,Research,CFA,Financial Analyst,14,37,Australia,Bachelor,Tier 3
1333,M.Tech,Security,SIEM,Python,SQL,,Security Analyst,11,36,Germany,Master,Tier 1
1336,MBA,Business,UML,SQL,Excel,,Business Analyst,6,25,Canada,Master,Tier 3
1337,B.Tech,Operations,Leadership,Supply Chain,HTML/CSS,,Operations Manager,1,25,Australia,Bachelor,Tier 1
1339,Ph.D,Biotech,Lab Techniques,Biology,HTML/CSS,,Biotech Researcher,5,24,Canada,Master,Tier 2
1340,MBA,HR,Labor Laws,Payroll,Research,,HR Manager,10,29,Canada,Bachelor,Tier 2
1341,BBA,HR,Leadership,Labor Laws,Python,,HR Manager,6,27,UK,Bachelor,Tier 2
1344,MBA,Management,JIRA,Scrum,Python,Scrum,Scrum Master,9,32,Canada,Bachelor,Tier 2
1345,M.Tech,Electrical,Networking,Linux,Research,CCNA,Network Engineer,2,23,Germany,Diploma,Tier 2
1346,MBA,HR,Recruitment,Leadership,Project Management,,HR Manager,5,27,India,Bachelor,Tier 2
1347,M.Tech,Security,Python,Incident Response,Data Analysis,CCNA,Security Analyst,4,26,USA,Master,Tier 2
1350,Ph.D,Biotech,Lab Techniques,Documentation,SQL,,Biotech Researcher,0,23,USA,Diploma,Tier 3
1351,B.Tech,Civil,Project Management,Surveying,HTML/CSS,,Civil Engineer,7,32,Australia,Bachelor,Tier 2
1352,M.Tech,Chemical,Excel,Simulation,Research,,Chemical Engineer,10,33,Canada,Master,Tier 2
1354,B.Sc,Biotech,PCR,Lab Techniques,Data Analysis,,Biotech Researcher,9,27,Remote,Bachelor,Tier 2
1356,BBA,Business,Strategy,Negotiation,Excel,,Business Development Manager,5,25,Australia,Bachelor,Tier 1
1360,M.Tech,Management,PMP Skills,Project Management,Python,Scrum,Project Manager,11,33,Canada,PhD,Tier 2
1361,B.Tech,Security,Linux,Network,Research,,Security Analyst,3,22,Germany,PhD,Tier 3
1363,M.Tech,Electrical,Proteus,Power Systems,HTML/CSS,,Electrical Engineer,10,30,Germany,Master,Tier 3
1364,M.Tech,Mechanical,Thermodynamics,SolidWorks,Project Management,,Mechanical Engineer,4,29,Canada,Master,Tier 3
1367,MBA,Business,Strategy,Sales,Research,,Business Development Manager,14,33,India,Bachelor,Tier 2
1371,MA,Media,Writing,Content Strategy,Project Management,,Content Writer,1,26,UK,Bachelor,Tier 3
1372,MBA,Sales,Leadership,Negotiation,SQL,,Sales Manager,13,32,Germany,Bachelor,Tier 2
1375,B.Tech,Civil,Design,Excel,Python,,Civil Engineer,13,38,Germany,Bachelor,Tier 2
1376,M.Sc,Data Science,Machine Learning,PyTorch,Communication,,Machine Learning Engineer,2,23,USA,Bachelor,Tier 3
1381,BBA,Marketing,Social Media,SEO,Excel,,Marketing Specialist,9,32,Canada,Master,Tier 2
1386,MBA,Sales,CRM,Leadership,Excel,,Sales Manager,15,37,Germany,Master,Tier 2
1387,M.Tech,Electrical,Networking,CCNA,Data Analysis,CCNA,Network Engineer,15,39,Remote,Bachelor,Tier 2
1388,B.Tech,Civil,Design,Construction,Data Analysis,,Civil Engineer,0,23,USA,Bachelor,Tier 1
1389,M.Sc,Data Science,Python,SQL,Leadership,AWS,Data Scientist,14,39,USA,Bachelor,Tier 1
1392,M.Tech,Chemical,Simulation,Process Design,Python,,Chemical Engineer,6,26,Remote,Diploma,Tier 3
1396,B.Tech,Electrical,PLC,Circuits,Leadership,,Electrical Engineer,15,34,UK,PhD,Tier 1
1401,M.Tech,Chemical,Excel,Chemistry,Project Management,,Chemical Engineer,10,28,Australia,Bachelor,Tier 3
1402,MBA,HR,Labor Laws,Leadership,HTML/CSS,,HR Manager,3,23,USA,Master,Tier 1
1403,M.Tech,Computer Science,Terraform,Cloud,Research,Google Cloud,Cloud Engineer,7,28,USA,Bachelor,Tier 3
1404,MCA,Data Science,Statistics,SQL,Research,,Data Scientist,13,38,Remote,Master,Tier 1
1408,B.Com,Business,SQL,Excel,Project Management,,Business Analyst,6,27,USA,Master,Tier 1
1410,B.Com,Finance,Financial Modeling,PowerBI,Communication,,Financial Analyst,11,31,USA,Master,Tier 3
1411,B.Tech,Civil,AutoCAD,Construction,Project Management,,Civil Engineer,7,32,Canada,Diploma,Tier 3
1413,BBA,HR,Recruitment,Labor Laws,Python,,HR Manager,5,23,Australia,Diploma,Tier 2
1417,B.Tech,Mechanical,Thermodynamics,CAD,Leadership,,Mechanical Engineer,3,25,India,Bachelor,Tier 2
1420,BBA,Sales,CRM,Excel,Data Analysis,,Sales Manager,9,32,USA,Bachelor,Tier 2
1422,B.Tech,Operations,Supply Chain,Planning,Project Management,,Supply Chain Manager,15,38,UK,Bachelor,Tier 3
1425,MBA,HR,Payroll,Leadership,HTML/CSS,,HR Manager,3,27,USA,Diploma,Tier 3
1426,M.Tech,Data Science,ML Ops,Machine Learning,Research,Google Cloud,Machine Learning Engineer,10,29,Canada,Master,Tier 2
1427,MCA,Data Science,ETL,SQL,Data Analysis,,Data Engineer,7,30,Australia,Bachelor,Tier 3
1428,B.Tech,Design,UI/UX,Prototyping,Leadership,,UI/UX Designer,8,31,UK,Bachelor,Tier 2
1432,B.Tech,Mechanical,Thermodynamics,SolidWorks,Communication,,Mechanical Engineer,15,38,India,PhD,Tier 2
1433,B.Tech,Civil,Excel,AutoCAD,HTML/CSS,,Civil Engineer,10,28,UK,Master,Tier 1
1434,MBA,HR,Payroll,Leadership,Excel,,HR Manager,2,27,Remote,Bachelor,Tier 2
1436,M.Tech,Mechanical,SolidWorks,MATLAB,Communication,,Mechanical Engineer,8,33,UK,Master,Tier 2
1438,B.Com,Finance,Financial Modeling,Excel,Project Management,,Financial Analyst,14,33,Remote,Bachelor,Tier 2
1439,MBA,Management,Leadership,Project Management,Excel,Scrum,Project Manager,1,22,Canada,Master,Tier 3
1440,B.Tech,Electrical,Networking,Switches,Research,CCNA,Network Engineer,5,30,Germany,Bachelor,Tier 3
1441,MBA,HR,Labor Laws,Recruitment,Python,,HR Manager,15,40,India,Bachelor,Tier 2
1446,M.Tech,Electrical,Circuits,MATLAB,Leadership,,Electrical Engineer,0,23,Germany,Diploma,Tier 2
1447,B.Tech,Business,UML,Stakeholder Mgmt,Project Management,,Business Analyst,11,32,UK,Diploma,Tier 2
1448,M.Tech,Electrical,Circuits,Design,SQL,,Electrical Engineer,7,28,Canada,Diploma,Tier 2
1450,B.Tech,Mechanical,CAD,Thermodynamics,Project Management,,Mechanical Engineer,1,24,Australia,Master,Tier 2
1455,B.Com,Data Science,Data Analysis,Excel,SQL,AWS,Data Analyst,6,31,Australia,Master,Tier 3
1458,MBA,Management,PMP Skills,Risk Mgmt,Project Management,PMP,Project Manager,3,26,UK,Bachelor,Tier 2
1460,M.Tech,Mechanical,Thermodynamics,SolidWorks,Project Management,,Mechanical Engineer,9,33,Remote,Bachelor,Tier 2
1462,MBA,Business,Data Analysis,Excel,Python,PMP,Business Analyst,14,38,Remote,Bachelor,Tier 3
1463,BBA,Sales,Excel,CRM,Research,,Sales Manager,5,30,USA,Master,Tier 3
1464,M.Tech,Chemical,Simulation,Process Design,Research,,Chemical Engineer,14,32,Australia,Bachelor,Tier 2
1466,B.Sc,Biotech,PCR,Documentation,Python,,Biotech Researcher,11,33,USA,Bachelor,Tier 3
1467,B.Tech,Mechanical,Thermodynamics,Project Mgmt,Research,,Mechanical Engineer,9,31,Germany,Bachelor,Tier 3
1469,B.Sc,Data Science,Tableau,SQL,Research,Google Cloud,Data Analyst,9,27,UK,Master,Tier 2
1475,BBA,Business,Excel,Negotiation,HTML/CSS,,Business Development Manager,10,35,UK,Master,Tier 3
1477,B.Tech,Operations,Analytics,ERP,Excel,,Operations Manager,4,24,India,Bachelor,Tier 2
1479,B.Des,Design,UI/UX,Graphic Design,Leadership,,UI/UX Designer,8,32,India,Bachelor,Tier 1
1480,B.Sc,Biotech,Research,Documentation,Data Analysis,,Biotech Researcher,10,31,Remote,Bachelor,Tier 2
1483,BBA,HR,Labor Laws,Leadership,Python,,HR Manager,15,36,UK,Master,Tier 1
1485,M.Tech,Security,Incident Response,Linux,Communication,,Security Analyst,4,25,Germany,Master,Tier 3
1486,M.Tech,Mechanical,Project Mgmt,Design,Research,,Mechanical Engineer,0,25,India,Master,Tier 2
1488,M.Sc,Data Science,Data Analysis,Machine Learning,Leadership,,Data Scientist,12,31,Australia,PhD,Tier 2
1497,BBA,Sales,Excel,Communication,Excel,,Sales Manager,10,33,Australia,Diploma,Tier 1
1501,B.Tech,Electrical,Power Systems,MATLAB,Communication,,Electrical Engineer,4,29,Canada,Master,Tier 3
1502,MBA,Management,Project Management,PMP Skills,Excel,PMP,Project Manager,10,33,Germany,Master,Tier 1
1503,M.Tech,Electrical,Circuits,Design,Project Management,,Electrical Engineer,5,28,Remote,Bachelor,Tier 1
1506,B.Tech,Mechanical,CAD,Design,Communication,,Mechanical Engineer,7,25,Germany,Bachelor,Tier 3
1509,M.Tech,Chemical,Safety,Simulation,Research,,Chemical Engineer,0,25,Germany,Master,Tier 3
1512,MBA,Marketing,Communication,Marketing,HTML/CSS,,Marketing Specialist,6,27,Remote,Bachelor,Tier 2
1517,BBA,Business,Strategy,Sales,Data Analysis,,Business Development Manager,8,26,India,Bachelor,Tier 1
1520,M.Sc,Biotech,Data Analysis,Biology,Project Management,,Biotech Researcher,12,37,UK,Bachelor,Tier 3
1521,BBA,Marketing,Marketing,Communication,Python,,Marketing Specialist,1,25,USA,Bachelor,Tier 2
1524,M.Tech,Electrical,Switches,Networking,SQL,CCNA,Network Engineer,4,26,Remote,PhD,Tier 2
1526,M.Tech,Electrical,Networking,Routers,Leadership,CCNA,Network Engineer,8,33,UK,Bachelor,Tier 1
1527,M.Tech,Electrical,Power Systems,MATLAB,Leadership,,Electrical Engineer,15,40,USA,Bachelor,Tier 3
1529,BBA,Sales,Leadership,Strategy,Project Management,,Sales Manager,1,24,UK,Bachelor,Tier 2
1530,BBA,Business,Excel,Communication,HTML/CSS,,Business Development Manager,3,25,India,Bachelor,Tier 3
1532,M.Tech,Computer Science,Cloud,Azure,Python,AWS,Cloud Engineer,4,23,UK,Diploma,Tier 3
1534,M.Tech,Computer Science,Docker,Cloud,Research,Google Cloud,Cloud Engineer,6,24,Canada,Master,Tier 1
1535,B.Tech,Security,Security,Linux,Python,CCNA,Security Analyst,2,23,Remote,Bachelor,Tier 1
1537,M.Sc,Data Science,SQL,Data Analysis,Research,,Data Scientist,12,32,Canada,PhD,Tier 1
1538,B.Tech,Security,Security,SIEM,Leadership,CCNA,Security Analyst,10,28,India,Diploma,Tier 3
1548,MBA,Sales,Excel,CRM,Communication,,Sales Manager,11,34,USA,Bachelor,Tier 3
1556,MBA,Operations,Supply Chain,Excel,Data Analysis,,Supply Chain Manager,2,22,Canada,Bachelor,Tier 2
1558,B.Com,Data Science,Excel,Tableau,SQL,,Data Analyst,11,30,Canada,Diploma,Tier 2
1559,B.Des,Design,HTML/CSS,UI/UX,Excel,,UI/UX Designer,3,27,Australia,Bachelor,Tier 3
1563,MBA,Operations,Excel,Supply Chain,Communication,,Operations Manager,2,27,Canada,Bachelor,Tier 2
1567,B.Tech,Security,SIEM,Incident Response,Project Management,,Security Analyst,12,31,India,Bachelor,Tier 1
1569,MBA,Design,UI/UX,Figma,SQL,,UI/UX Designer,0,22,Germany,Master,Tier 2
1571,B.Tech,Business,Excel,Data Analysis,Project Management,,Business Analyst,9,32,USA,Bachelor,Tier 1
1575,MBA,Operations,ERP,Leadership,HTML/CSS,,Operations Manager,0,21,Australia,Master,Tier 2
1579,M.Tech,Mechanical,CAD,SolidWorks,Communication,,Mechanical Engineer,10,34,India,Bachelor,Tier 2
1582,M.Sc,Biotech,Documentation,Research,Data Analysis,,Biotech Researcher,6,31,UK,Bachelor,Tier 2
1585,B.Com,Business,SQL,Stakeholder Mgmt,Data Analysis,,Business Analyst,11,33,Remote,PhD,Tier 1
1588,B.Tech,Mechanical,MATLAB,Thermodynamics,Data Analysis,,Mechanical Engineer,13,34,UK,Bachelor,Tier 2
1598,BBA,HR,Leadership,Excel,Project Management,,HR Manager,9,32,Remote,Bachelor,Tier 3
1601,MCA,Computer Science,Python,Cloud,Communication,AWS,Cloud Engineer,0,22,Remote,Master,Tier 2
1602,B.Tech,Security,Python,Security,Research,,Security Analyst,5,24,UK,Bachelor,Tier 3
1605,B.Com,Business,UML,Stakeholder Mgmt,Communication,,Business Analyst,13,34,Remote,Bachelor,Tier 2
1606,B.Tech,Electrical,Networking,CCNA,Python,CCNA,Network Engineer,0,24,USA,Master,Tier 3
1609,B.Tech,Security,Incident Response,Python,HTML/CSS,,Security Analyst,4,27,India,PhD,Tier 3
1613,B.Tech,Data Science,SQL,Python,Data Analysis,,Data Analyst,14,39,UK,Master,Tier 3
1618,B.Tech,Operations,Analytics,Leadership,Data Analysis,,Operations Manager,8,28,Remote,Master,Tier 3
1619,MBA,Data Science,Python,Excel,Research,,Data Analyst,3,27,India,Master,Tier 2
1621,M.Tech,Mechanical,CAD,Thermodynamics,Leadership,,Mechanical Engineer,14,32,Canada,Master,Tier 2
1625,M.Tech,Management,Project Management,Risk Mgmt,HTML/CSS,PMP,Project Manager,11,33,India,Bachelor,Tier 2
1629,Ph.D,Biotech,Lab Techniques,Data Analysis,HTML/CSS,,Biotech Researcher,8,32,Australia,Bachelor,Tier 2
1633,B.Tech,Management,Scrum,Agile,Excel,Scrum,Scrum Master,5,28,India,Master,Tier 2
1635,Ph.D,Data Science,SQL,Data Analysis,Python,,Data Scientist,3,24,UK,PhD,Tier 2
1639,B.Tech,Security,SIEM,Incident Response,HTML/CSS,CCNA,Security Analyst,1,24,Germany,Bachelor,Tier 2
1641,MCA,Data Science,Spark,Hadoop,Project Management,Google Cloud,Data Engineer,4,29,USA,Bachelor,Tier 2
1644,M.Sc,Data Science,Machine Learning,TensorFlow,Research,Google Cloud,Machine Learning Engineer,12,32,Canada,Diploma,Tier 2
1645,MCA,Data Science,Spark,SQL,Python,AWS,Data Engineer,14,39,UK,Master,Tier 3
1648,B.Tech,Electrical,MATLAB,Proteus,Communication,,Electrical Engineer,1,25,Canada,Bachelor,Tier 2
1650,MBA,Sales,Communication,Excel,Leadership,,Sales Manager,0,23,Remote,Bachelor,Tier 3
1652,BBA,HR,Excel,Communication,Python,,HR Manager,1,24,Remote,PhD,Tier 2
1657,B.Com,Data Science,Excel,SQL,Research,AWS,Data Analyst,10,28,India,Master,Tier 2
1663,MBA,Operations,Logistics,Supply Chain,SQL,,Supply Chain Manager,0,23,Canada,PhD,Tier 2
1666,M.Tech,Electrical,Proteus,MATLAB,Communication,,Electrical Engineer,4,25,Canada,PhD,Tier 3
1671,B.Com,Marketing,Marketing,Analytics,Python,,Marketing Specialist,2,24,India,Bachelor,Tier 1
1674,Ph.D,Biotech,Lab Techniques,Data Analysis,SQL,,Biotech Researcher,14,32,USA,Master,Tier 2
1675,BBA,Business,CRM,Strategy,Data Analysis,,Business Development Manager,6,31,Canada,Bachelor,Tier 3
1677,MBA,Business,Strategy,Excel,Communication,,Business Development Manager,0,22,Germany,Bachelor,Tier 2
1678,B.Tech,Mechanical,MATLAB,Thermodynamics,Research,,Mechanical Engineer,15,40,Germany,Bachelor,Tier 3
1679,M.Tech,Electrical,Power Systems,Design,Communication,,Electrical Engineer,2,26,India,Master,Tier 3
1686,M.Tech,Computer Science,Cloud,Azure,Leadership,AWS,Cloud Engineer,15,39,Australia,Master,Tier 1
1696,B.Tech,Civil,Construction,AutoCAD,Data Analysis,,Civil Engineer,14,33,India,Bachelor,Tier 2
1697,B.Tech,Operations,ERP,Excel,Project Management,,Operations Manager,0,22,Australia,Bachelor,Tier 1
1698,MBA,Sales,Negotiation,Communication,SQL,,Sales Manager,7,27,USA,Bachelor,Tier 1
1699,Ph.D,Data Science,Pandas,Statistics,Communication,AWS,Data Scientist,3,22,Germany,Bachelor,Tier 1
1702,B.Tech,Electrical,Design,PLC,Project Management,,Electrical Engineer,2,26,Canada,Bachelor,Tier 1
1703,M.Tech,Chemical,Excel,MATLAB,Project Management,,Chemical Engineer,14,37,India,Diploma,Tier 1
1704,MBA,Operations,Supply Chain,Logistics,Research,,Supply Chain Manager,1,24,UK,Master,Tier 2
1707,MBA,Data Science,Excel,Data Analysis,Research,AWS,Data Analyst,9,31,Germany,Diploma,Tier 3
1709,B.Sc,Biotech,Data Analysis,PCR,Python,,Biotech Researcher,3,24,Australia,PhD,Tier 3
1712,Ph.D,Biotech,Biology,Research,Communication,,Biotech Researcher,6,26,Australia,Bachelor,Tier 2
1714,BBA,HR,Labor Laws,Leadership,Communication,,HR Manager,1,21,USA,Bachelor,Tier 2
1716,B.Tech,Business,Excel,SQL,Python,PMP,Business Analyst,4,26,UK,Master,Tier 2
1717,M.Tech,Security,Network,SIEM,Data Analysis,,Security Analyst,0,25,Canada,Master,Tier 1
1718,B.Tech,Business,Communication,UML,Research,PMP,Business Analyst,7,32,Remote,Master,Tier 3
1721,BBA,Marketing,Analytics,Communication,Excel,Google Cloud,Marketing Specialist,14,37,Australia,Bachelor,Tier 2
1729,B.Tech,Design,HTML/CSS,UI/UX,Excel,,UI/UX Designer,7,28,Australia,Bachelor,Tier 3
1731,BBA,Business,Excel,Strategy,SQL,,Business Development Manager,3,22,Remote,Master,Tier 2
1732,B.Tech,Electrical,Networking,Routers,Communication,CCNA,Network Engineer,3,24,USA,Bachelor,Tier 2
1733,M.Tech,Data Science,Statistics,Pandas,Project Management,,Data Scientist,11,36,USA,PhD,Tier 3
1737,BBA,Marketing,Communication,SEO,SQL,Google Cloud,Marketing Specialist,1,25,Canada,Bachelor,Tier 2
1738,B.Tech,Mechanical,CAD,MATLAB,Project Management,,Mechanical Engineer,4,25,USA,Diploma,Tier 3
1741,B.Sc,Biotech,Biology,Lab Techniques,Communication,,Biotech Researcher,2,23,Canada,Bachelor,Tier 3
1742,M.Tech,Civil,Design,Excel,Communication,,Civil Engineer,11,33,Canada,Bachelor,Tier 2
1743,BBA,Business,Sales,CRM,Python,,Business Development Manager,11,34,Australia,Bachelor,Tier 3
1746,M.Sc,Data Science,Machine Learning,TensorFlow,Communication,,Machine Learning Engineer,7,30,USA,Bachelor,Tier 3
1747,MBA,HR,Labor Laws,Excel,HTML/CSS,,HR Manager,5,28,UK,Bachelor,Tier 1
1748,MBA,Management,Agile,Scrum,Project Management,PMP,Scrum Master,2,24,Germany,Bachelor,Tier 2
1751,B.Tech,Mechanical,Thermodynamics,Project Mgmt,Project Management,,Mechanical Engineer,8,31,India,Bachelor,Tier 2
1753,M.Sc,Data Science,Python,Statistics,HTML/CSS,,Data Scientist,2,24,USA,Diploma,Tier 1
1755,B.Tech,Civil,Construction,AutoCAD,Project Management,,Civil Engineer,8,29,Australia,Master,Tier 2
1756,M.Tech,Electrical,PLC,Proteus,Leadership,,Electrical Engineer,8,28,Australia,Master,Tier 1
1758,B.Tech,Security,Linux,Incident Response,Python,,Security Analyst,12,33,Remote,Bachelor,Tier 2
1761,M.Tech,Civil,Project Management,AutoCAD,Data Analysis,,Civil Engineer,7,32,Canada,Master,Tier 3
